Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
Hipp-ExN-4	0.09372707555695126	0.09942653386361994	0.00708404734393382	1.0608090914263673	0.07558165345326874	0.42099251154511297	-1.3975176814112592e-8	7.813674434430071e-9	-1.7885537631991113	0.9631566450699913	0.9994180079644611	0
Hipp-ExN-5	0.11048690363736312	0.13290819786703062	0.00783416617694961	1.202931691372744	0.07090583516271469	0.00461899162677738	-1.3720039574836677e-8	7.503138795311208e-9	-1.8285733409877043	0.966268225292305	0.9994180079644611	0
Hipp-ExN-6	0.09300842336196705	0.1105408596198441	0.00760100959368663	1.1885037464794443	0.08172388391216225	0.02221875292081401	-1.390738961081935e-8	8.620322350748352e-9	-1.6133259343384083	0.9466631425027223	0.9994180079644611	0
Hipp-InN-1	0.08319808278893416	0.1160418619112314	0.00839593930616372	1.394766057357582	0.10091505747149782	1.3790053039355e-4	-9.130294606962307e-9	1.0301353872486458e-8	-0.8863198682406307	0.8122774071580132	0.9994180079644611	0
Hipp-InN-2	0.08893723519201552	0.12460250631110258	0.00748480538705311	1.4010161890246051	0.08415828725610161	2.9662330838488044e-6	-9.382708731885364e-9	8.504997806263623e-9	-1.103199429984019	0.865029715586098	0.9994180079644611	0
Hipp-InN-3	0.10328410968403964	0.10008124691253598	0.00655169005981371	0.9689897818618792	0.06343366932102373	0.6256409571268343	-2.2103601664781933e-8	6.806214454170895e-9	-3.247561741348995	0.9994180079644611	0.9994180079644611	0
Hipp-InN-4	0.08024513353862898	0.092608528286934	0.00659391534449974	1.1540703367681908	0.08217215242498808	0.06061737699029979	-9.363512955882152e-9	8.673465095983138e-9	-1.079558498508121	0.8598305846226055	0.9994180079644611	0
Hipp-MG	0.07925488986286056	0.1152833029700052	0.0084502995338003	1.4545891511487397	0.10662180653360769	2.762580698896421e-5	-1.6899927506086674e-8	1.0723858595247821e-8	-1.57591853305262	0.9424777103678382	0.9994180079644611	0
Hipp-OPC	0.10070877156606628	0.12754905469261246	0.00932783121608329	1.266513856828634	0.09262183493087409	0.00467367145937078	9.032454043801891e-10	8.586826310746134e-9	0.1051896674851577	0.45811265469436613	0.9994180079644611	2.5282950906499034e-4
Hipp-RG-1	0.10233362337760156	0.15174953973013836	0.0135572796915152	1.4828903220811076	0.13248118501081607	3.261674025423e-4	8.691185631525216e-9	1.2438301331231731e-8	0.6987437753821126	0.24235608571733427	0.8551173232293743	0.06797429540567708
Hipp-RG-2	0.12859311419138458	0.17651329598829346	0.01215105501313238	1.372649671782499	0.0944922680311484	1.1427148683748e-4	6.186685306250396e-9	8.934151592985073e-9	0.6924759717652501	0.24431923520839266	0.8551173232293743	0.06797429540567708
Hipp-RG-3	0.09015511916390756	0.15787895928816456	0.01317798778280021	1.7511923976400152	0.14617015544998413	1.0612036140346844e-6	2.4272892320763817e-8	1.3385625468838107e-8	1.81335510822945	0.03488853436024683	0.3968570783478077	0.4013658692074599
Thal-CycPro	0.11763165518651658	0.167576811845895	0.01007741254874349	1.4245894234862668	0.08566922341409519	1.5905489946463733e-6	9.122830044648186e-9	8.871244523443884e-9	1.028359664818103	0.1518903372885806	0.7274747733295176	0.1381820621272682
